time,ndvi_mean,lst_mean
2023-01-01,0.024776808032633223,-123.14852013999997
2023-01-17,0.008334308826269714,-123.13801717687909
2023-02-02,0.005706886635625406,-74.41057321784491
2023-02-18,0.16581901611750452,12.74807778567019
2023-03-06,0.3298290038454832,-45.23263163909984
2023-03-22,0.34508749990135285,5.965633551971109
2023-04-07,0.3917406209924701,34.96916328669516
2023-04-23,0.37333428633898524,34.303743437555866
2023-05-09,0.36316150597232605,8.080188331215526
2023-05-25,0.3596784611396951,36.1818761838305
2023-06-10,0.3556063351752497,35.15183459713537
2023-06-26,0.35476978672187703,22.752890317601857
2023-07-12,0.35528057737934043,32.315309928265464
2023-07-28,0.31713014455010075,18.364130928758232
2023-08-13,0.31033574910208817,9.575574701248378
2023-08-29,0.33820611709296217,31.43166117998688
2023-09-14,0.340933620887302,36.331238642339045
2023-09-30,0.33157588992323767,36.37736881217479
2023-10-16,0.34690215464163837,38.189574794678066
2023-11-01,0.33502009352105344,37.71968650008544
2023-11-17,0.30941144133340764,38.00796010605784
2023-12-03,0.11139043716233189,-123.14852013999997
2023-12-19,0.3047101809142738,5.46202842890278
2024-01-04,0.2391059285808859,-83.83726427237843
2024-01-20,0.3224093916521734,1.7854171751051444
2024-02-05,0.26260226376355833,-0.32182134954662966
2024-02-21,0.02080775894109504,-105.98686704282521
2024-03-08,0.14109695958335916,-123.14852013999997
2024-03-24,0.28718435110393276,28.51827485309463
2024-04-09,0.1967387802168869,-79.25584862789749
2024-04-25,0.133897884954951,-123.14852013999997
2024-05-11,0.33606352131464196,30.588050276583463
2024-05-27,0.33341355431185,30.363402671248377
2024-06-12,0.31620999996795246,12.214386825367956
2024-06-28,0.2393159137528907,21.2070421148489
2024-07-14,0.3520784020423749,25.50802142019713
2024-07-30,0.33437036651207164,30.40635212120239
2024-08-15,0.34653865689400837,31.00641974234562
2024-08-31,0.3279954782985789,24.94481915843629
2024-09-16,0.35671463348625354,31.760870179231294
2024-10-02,0.2626783932206537,-6.421963365282504
2024-10-18,0.34952959176096043,36.07460867027598
2024-11-03,0.2636098284291343,-1.8568825027595077
2024-11-19,0.31553769879674987,-9.548537648107732
2024-12-05,0.08637889678619548,-117.31193022312087
2024-12-21,0.24554533663668968,-0.1102106533902558
